"Source:","/Users/hy_red_leaf/Desktop/Real-Time-Rocket/Neutro_v2_PCB/Neutro_v2.kicad_sch"
"Date:","Tuesday, May 09, 2023 at 06:11:26 PM"
"Tool:","Eeschema (6.0.7-1)-1"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","44"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"A1, ","1","ADA3708","ADA3708","Neutro_Footprint:ADA3708_RPI-ZERO","",""
"C5, ","1","10u","C","Capacitor_SMD:C_1206_3216Metric","Unpolarized capacitor",""
"C6, C10, C12, C14, ","4","0.1u","C","Capacitor_SMD:C_1206_3216Metric","Unpolarized capacitor",""
"C9, ","1","100 nF","C_Small","Capacitor_SMD:C_1206_3216Metric","Unpolarized capacitor, small symbol",""
"C11, C13, ","2","0.47u","C","Capacitor_SMD:C_1206_3216Metric","Unpolarized capacitor",""
"D1, ","1","Red","LED","LED_THT:LED_D3.0mm","Light emitting diode",""
"D2, ","1","Green","LED","LED_THT:LED_D3.0mm","Light emitting diode",""
"H1, H2, H3, H4, ","4","MountingHole","MountingHole","MountingHole:MountingHole_2.5mm","Mounting Hole without connection",""
"J1, ","1","SparkFun_Lipo_Converter","SparkFun_Lipo_Converter","Neutro_Footprint:Sparkfun_Lipo_Converter","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J2, ","1","Conn_Coaxial","Conn_Coaxial","Connector_Coaxial:SMA_Amphenol_132203-12_Horizontal","coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)",""
"R3, R4, R9, R10, ","4","0","R_Small_US","Resistor_SMD:R_1206_3216Metric","Resistor, small US symbol",""
"R5, ","1","4.7K","R_Small_US","Resistor_SMD:R_1206_3216Metric","Resistor, small US symbol",""
"R6, R7, ","2","220","R_Small_US","Resistor_SMD:R_1206_3216Metric","Resistor, small US symbol",""
"R8, ","1","10k","R_Small_US","Resistor_SMD:R_1206_3216Metric","Resistor, small US symbol",""
"TP1, ","1","MOSI","TestPoint","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm","test point",""
"TP2, ","1","MISO","TestPoint","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm","test point",""
"TP3, ","1","SCLK","TestPoint","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm","test point",""
"TP4, ","1","CS","TestPoint","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm","test point",""
"TP5, TP12, TP17, ","3","GND","TestPoint","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm","test point",""
"TP11, ","1","3.3V","TestPoint","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm","test point",""
"TP13, ","1","SCL1","TestPoint","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm","test point",""
"TP14, ","1","SDA1","TestPoint","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm","test point",""
"TP15, ","1","5V","TestPoint","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm","test point",""
"TP16, ","1","BOOTN","TestPoint","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm","test point",""
"TP18, ","1","SCL0","TestPoint","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm","test point",""
"TP19, ","1","SDA0","TestPoint","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm","test point",""
"U1, ","1","Adafruit_GPS","Adafruit_GPS","Neutro_Footprint:Adafruit_GPS","",""
"U2, ","1","RFM96W-433S2_1","RFM96W-433S2_1","Neutro_Footprint:HOPERF_RFM9XW_SMD","Low power long range transceiver module, SPI and parallel interface, 433 MHz, spreading factor 6 to12, bandwith 7.8 to 500kHz, -111 to -148 dBm, SMD-16, DIP-16",""
"U3, ","1","MS5803-01BA","MS5803-01BA","Neutro_Footprint:MS5803-01BA_Miniature_Altimeter_Module","",""
"U4, ","1","BNO080","BNO080","Neutro_Footprint:BNO085","",""
"U5, ","1","DS3231M_1","DS3231M_1","Neutro_Footprint:DS3231M","Extremely Accurate I2C-Integrated RTC/TCXO/Crystal SOIC-16",""
